TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
55.940144,1.3187704,301.29013,9975.498,92.971985,35.710064,6930.739,40.144123,48.544247
58.58955,1.4794338,311.92554,10404.106,99.32101,41.156162,6794.344,38.75575,52.574448
59.445942,1.5389441,316.71445,10580.176,102.04816,44.339542,6614.8013,37.623184,54.294422
59.332985,1.5544983,318.6458,10624.468,103.38987,46.367683,6437.972,36.792057,55.034508
58.9293,1.5633056,319.60385,10641.265,104.68985,47.76505,6283.9287,36.277668,55.538666
58.54043,1.5779899,319.93762,10656.198,106.2101,48.68561,6159.246,35.873817,55.955753
58.32859,1.5976857,319.78754,10673.4375,107.70946,49.195194,6092.934,35.48228,56.239735
58.33992,1.6161803,319.3002,10686.941,108.918846,49.34712,6097.8486,35.122902,56.357365
58.537373,1.6272793,318.62057,10687.97,109.67844,49.23501,6160.107,34.887714,56.326237
58.84551,1.6274483,317.81116,10670.279,109.932304,48.961945,6252.502,34.86361,56.181686
59.187275,1.6168393,316.84985,10633.127,109.71842,48.597977,6349.814,35.079315,55.95723
59.499638,1.5990202,315.71164,10581.14,109.15482,48.181656,6436.251,35.496704,55.679546
59.73796,1.5791688,314.43103,10522.237,108.40532,47.740536,6506.0557,36.034218,55.36016
59.876717,1.5612525,313.09375,10464.652,107.62559,47.30325,6560.613,36.60436,54.99063
59.908134,1.5464225,311.795,10414.084,106.91845,46.902905,6604.7744,37.145206,54.555515
59.84059,1.5337925,310.60904,10372.343,106.32428,46.574604,6643.863,37.62997,54.05463
59.694756,1.5221617,309.5776,10337.9795,105.84055,46.346622,6681.9756,38.056675,53.51181
59.49631,1.5109181,308.70932,10308.039,105.44673,46.23085,6721.5713,38.432953,52.96379
59.268177,1.4999965,307.98434,10279.59,105.1186,46.219177,6763.7495,38.766865,52.443214
59.02591,1.4895247,307.3643,10250.473,104.832596,46.28716,6808.7563,39.064598,51.96873
58.777084,1.4795817,306.80286,10219.449,104.56675,46.40131,6856.454,39.331352,51.544235
58.52313,1.4701271,306.2558,10185.999,104.3013,46.52656,6906.6553,39.572533,51.16292
58.261948,1.4610182,305.68768,10150.114,104.0199,46.631603,6959.259,39.79415,50.81234
57.990513,1.4520519,305.07538,10112.087,103.71033,46.692036,7014.215,40.00273,50.47852
57.70659,1.4430015,304.4091,10072.419,103.364586,46.69167,7071.4023,40.204872,50.14855
57.40993,1.4336456,303.69186,10031.751,102.97845,46.62257,7130.523,40.40685,49.812122
57.10263,1.4237865,302.93726,9990.802,102.55091,46.484016,7191.0195,40.614098,49.462326
56.788822,1.4132756,302.16577,9950.312,102.08365,46.280922,7252.1196,40.8307,49.095673
56.473866,1.4020274,301.40048,9910.961,101.58029,46.02187,7312.918,41.05907,48.71189
56.16328,1.3900341,300.663,9873.314,101.0461,45.717113,7372.497,41.299683,48.31321
55.861732,1.377367,299.97003,9837.767,100.487144,45.377045,7430.05,41.551235,47.903683
55.57233,1.3641641,299.3318,9804.54,99.90968,45.01114,7484.9575,41.81091,47.488358
55.296375,1.3506131,298.75156,9773.715,99.31966,44.62744,7536.826,42.074924,47.072613
55.033535,1.3369282,298.2268,9745.257,98.722404,44.232628,7585.4785,42.339092,46.661716
54.782352,1.3233256,297.75085,9719.075,98.12256,43.832115,7630.926,42.599365,46.26053
54.54078,1.3100039,297.31442,9695.031,97.52412,43.4304,7673.334,42.852215,45.873257
54.30681,1.2971264,296.90778,9672.977,96.93065,43.03114,7712.964,43.094906,45.503395
54.0788,1.2848159,296.52164,9652.75,96.345474,42.637474,7750.1436,43.325592,45.15366
53.85575,1.273152,296.1485,9634.187,95.77164,42.25198,7785.214,43.54325,44.825943
53.637318,1.2621748,295.7826,9617.12,95.21196,41.876896,7818.5073,43.747555,44.52133
