TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
59.57713,1.4770138,307.22073,10411.172,95.88571,35.779167,6697.075,39.22609,52.305515
62.62272,1.6758025,316.6731,10863.443,102.62888,39.5962,6274.524,37.045135,57.35827
64.09229,1.7588024,321.72528,11075.279,105.63461,41.92157,5994.4956,36.268135,59.913776
64.27123,1.7667608,323.17947,11075.626,106.49983,43.50736,5816.259,36.28728,60.837746
63.86402,1.745238,323.10706,11000.642,106.72623,44.729214,5727.26,36.908752,61.06472
63.220367,1.7230927,322.17218,10913.606,107.14011,45.546967,5670.587,37.563503,60.99946
62.63571,1.7147174,321.0656,10853.228,107.88814,46.052345,5641.4336,37.89671,60.83684
62.259876,1.720297,320.3314,10824.016,108.746185,46.381298,5650.894,37.83867,60.683342
62.13227,1.733974,320.1999,10812.614,109.51679,46.621223,5700.4146,37.516273,60.607754
62.235172,1.7500148,320.5758,10803.841,110.12239,46.821438,5783.3735,37.106327,60.626446
62.524986,1.7648737,321.19348,10788.96,110.55925,47.01613,5889.997,36.747005,60.72702
62.947765,1.7770917,321.7761,10766.459,110.8607,47.231773,6008.338,36.51346,60.89713
63.44967,1.7868507,322.12656,10739.57,111.0836,47.48043,6125.032,36.421246,61.123253
63.984325,1.7954386,322.16473,10713.552,111.29388,47.749264,6227.5586,36.438892,61.375763
64.513435,1.8043152,321.92386,10693.572,111.54711,48.003246,6307.226,36.51046,61.604374
65.00284,1.8140944,321.50827,10683.254,111.87127,48.20645,6361.0723,36.58468,61.751034
65.421555,1.8243468,321.03238,10683.762,112.25897,48.346268,6391.3247,36.63488,61.772915
65.74694,1.8342919,320.57733,10693.579,112.67541,48.438473,6402.948,36.659412,61.65953
65.97033,1.8434082,320.1817,10709.331,113.07778,48.51184,6401.2373,36.66922,61.43202
66.0974,1.8514837,319.85287,10727.172,113.432274,48.58992,6390.6675,36.675743,61.128876
66.14345,1.8584193,319.5809,10743.996,113.719894,48.683247,6374.7246,36.685516,60.790276
66.12716,1.8641247,319.3479,10757.888,113.9339,48.791084,6356.0703,36.7004,60.44863
66.06564,1.8685161,319.1336,10768.011,114.07502,48.906273,6336.7188,36.719955,60.124905
65.97218,1.8715488,318.9186,10774.231,114.14805,49.019314,6318.188,36.743443,59.829243
65.85588,1.8732295,318.6859,10776.77,114.159836,49.120872,6301.631,36.77074,59.563465
65.72221,1.8736215,318.4221,10775.964,114.117966,49.202766,6287.934,36.802395,59.324066
65.57401,1.8728234,318.1168,10772.141,114.02981,49.25834,6277.787,36.83935,59.104733
65.412285,1.8709488,317.76215,10765.566,113.90167,49.282352,6271.7207,36.88261,58.898132
65.2369,1.8681101,317.3528,10756.444,113.73833,49.27088,6270.125,36.933113,58.69698
65.04713,1.864403,316.88486,10744.938,113.54298,49.22108,6273.254,36.99167,58.49459
64.842094,1.8598988,316.35632,10731.183,113.31716,49.13117,6281.229,37.05902,58.28517
64.62115,1.8546412,315.76715,10715.327,113.06124,49.000443,6294.041,37.135925,58.06392
64.38414,1.8486476,315.1194,10697.549,112.77462,48.829258,6311.5444,37.22316,57.827145
64.131676,1.8419126,314.41745,10678.074,112.45627,48.619152,6333.4644,37.321564,57.572224
63.865234,1.8344139,313.66812,10657.167,112.10524,48.372776,6359.41,37.431984,57.297688
63.58719,1.8261212,312.88043,10635.138,111.72101,48.09376,6388.89,37.55519,57.003254
63.300747,1.8170047,312.06506,10612.318,111.30382,47.78658,6421.346,37.691776,56.68969
63.00963,1.8070439,311.2338,10589.039,110.855,47.45619,6456.187,37.842075,56.35883
62.71786,1.796235,310.39877,10565.606,110.37697,47.107697,6492.8203,38.006027,56.013283
62.429443,1.7845953,309.57153,10542.28,109.87316,46.746098,6530.693,38.18317,55.656273
62.147995,1.7721652,308.76263,10519.261,109.3479,46.375954,6569.3096,38.372616,55.29139
61.876522,1.7590122,307.98117,10496.684,108.80604,46.001293,6608.2466,38.573086,54.922302
61.617268,1.7452232,307.23434,10474.622,108.25264,45.62548,6647.155,38.782974,54.55253
61.371635,1.7309043,306.52774,10453.107,107.692696,45.251316,6685.7573,39.000446,54.185284
61.140213,1.7161771,305.8652,10432.132,107.13077,44.88103,6723.829,39.223553,53.823368
60.922832,1.7011725,305.24902,10411.666,106.57088,44.516396,6761.197,39.450245,53.46911
60.7188,1.6860262,304.68018,10391.682,106.01634,44.158897,6797.7173,39.67858,53.124283
