TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
59.73724,1.460025,309.83386,10455.687,96.6753,38.74007,6746.568,39.924023,52.8717
62.752346,1.6458176,319.23767,10892.593,104.14071,44.2661,6308.5757,37.397564,58.086113
64.17704,1.7218696,324.56354,11133.028,107.911026,47.685837,6019.914,36.157413,60.913155
64.28938,1.7383021,326.70355,11195.409,109.883766,49.7384,5793.1045,35.522,62.289425
63.97955,1.7453251,327.78113,11224.333,111.58446,51.125656,5605.448,35.32359,63.040348
63.639263,1.7631819,328.05475,11260.502,113.33984,52.11328,5455.1045,35.111874,63.337048
63.46289,1.79288,327.65964,11308.956,114.9907,52.81782,5384.8965,34.712082,63.266083
63.469025,1.8265091,326.8377,11351.778,116.37409,53.281063,5404.765,34.18763,62.99139
63.594154,1.8557905,325.8833,11368.622,117.401535,53.546776,5491.634,33.706078,62.674786
63.77194,1.87565,324.92657,11349.295,118.04218,53.640133,5616.17,33.409615,62.39348
63.959385,1.8844098,323.90402,11295.633,118.30707,53.567757,5755.4478,33.36565,62.159817
64.12943,1.883319,322.7106,11217.859,118.24333,53.35738,5892.3486,33.567154,61.97035
64.26536,1.8761197,321.3322,11130.089,117.937645,53.062992,6013.5767,33.945488,61.817863
64.36099,1.8672438,319.86017,11045.906,117.504456,52.72681,6110.026,34.397907,61.67574
64.41734,1.8590162,318.42505,10974.87,117.05315,52.35733,6177.9395,34.83233,61.493656
64.437164,1.8507407,317.1344,10920.993,116.65606,51.949234,6219.09,35.200397,61.21993
64.42288,1.840599,316.04886,10883.322,116.33927,51.513096,6239.2466,35.49696,60.831654
64.377075,1.8277618,315.1863,10857.927,116.09459,51.08295,6245.757,35.739536,60.345398
64.302826,1.8127966,314.53348,10840.036,115.89887,50.70178,6245.459,35.949272,59.803364
64.20398,1.79691,314.05737,10825.474,115.72831,50.402847,6243.4863,36.14158,59.251293
64.08504,1.781171,313.71527,10811.257,115.56408,50.199974,6242.975,36.324635,58.723713
63.950733,1.7662016,313.46225,10795.625,115.39256,50.08839,6245.407,36.50161,58.239655
63.805325,1.752216,313.2571,10777.764,115.20411,50.051247,6251.255,36.673306,57.805103
63.6519,1.7391787,313.06464,10757.448,114.99171,50.06657,6260.5376,36.839813,57.417576
63.492077,1.7269471,312.8565,10734.749,114.75066,50.11205,6273.213,37.001328,57.069992
63.325935,1.7153594,312.61057,10709.811,114.47814,50.167557,6289.342,37.15834,56.753395
63.15223,1.7042705,312.3097,10682.738,114.1727,50.215942,6309.1313,37.31159,56.458366
62.96862,1.6935569,311.94064,10653.56,113.83381,50.242973,6332.901,37.462036,56.175816
62.771946,1.6831105,311.49313,10622.232,113.46136,50.23697,6361.0254,37.61087,55.89723
