TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
59.725414,1.4640881,310.00702,10455.251,96.30116,38.13789,6749.36,39.602245,52.77666
62.730995,1.6519098,319.7018,10892.758,103.37772,43.282135,6306.384,37.072327,57.957348
64.20751,1.7283806,325.32675,11128.624,106.748,46.52561,6012.499,35.918774,60.715355
64.38715,1.7408735,327.5314,11176.422,108.1976,48.58042,5792.6333,35.44439,61.960415
64.105446,1.7399366,328.38065,11180.533,109.31821,49.98163,5628.7656,35.44316,62.558067
63.747734,1.7484678,328.25317,11189.399,110.59802,50.86762,5505.7324,35.411976,62.7377
63.538147,1.7693802,327.5331,11216.488,111.9156,51.39433,5455.631,35.150135,62.619892
63.52205,1.7952046,326.63986,11248.129,113.062355,51.695236,5486.1733,34.721962,62.3693
63.652367,1.8179862,325.881,11265.221,113.916824,51.86619,5576.825,34.301846,62.12354
63.86834,1.8333294,325.30276,11256.743,114.43974,51.94742,5701.6816,34.034,61.932446
64.122604,1.8402185,324.75256,11222.139,114.64661,51.94228,5839.749,33.983498,61.79315
64.378204,1.8400342,324.05643,11168.28,114.59253,51.85949,5974.305,34.141663,61.69492
64.60721,1.8358316,323.14328,11105.593,114.365326,51.720608,6091.9478,34.44513,61.62426
64.79268,1.8309149,322.06155,11044.425,114.0686,51.535652,6183.7686,34.803925,61.55064
64.926384,1.8268803,320.92337,10992.314,113.79324,51.294212,6246.627,35.139122,61.425056
65.00469,1.8230839,319.8387,10952.761,113.592995,50.986942,6282.845,35.410065,61.200893
65.02718,1.8180876,318.88028,10925.431,113.479095,50.62876,6298.293,35.614765,60.859787
64.99722,1.8112122,318.07996,10907.476,113.43394,50.259396,6300.018,35.772327,60.419846
64.921555,1.8028053,317.4388,10895.143,113.4304,49.925232,6294.4893,35.904964,59.922375
64.809204,1.7936618,316.93802,10885.015,113.44425,49.660717,6286.6353,36.02835,59.41196
64.66961,1.7844677,316.54745,10874.61,113.45767,49.480274,6279.6113,36.150112,58.922794
64.51121,1.7755893,316.23245,10862.456,113.45791,49.38021,6275.0957,36.272316,58.47433
64.34032,1.7671108,315.9588,10847.897,113.43529,49.345306,6273.7866,36.394535,58.073227
64.16087,1.758964,315.69556,10830.786,113.38233,49.35537,6275.908,36.515884,57.71737
63.97454,1.7510267,315.41656,10811.225,113.293434,49.3899,6281.554,36.63591,57.399715
63.78124,1.7431816,315.1006,10789.382,113.16471,49.43047,6290.8584,36.754757,57.111103
63.5795,1.7353377,314.731,10765.392,112.99386,49.461567,6304.049,36.873077,56.84184
63.367092,1.7274266,314.29492,10739.329,112.77947,49.470753,6321.427,36.991917,56.58269
63.141434,1.7193904,313.7833,10711.213,112.52078,49.448338,6343.299,37.11254,56.32522
62.899918,1.7111706,313.19034,10681.049,112.21706,49.387264,6369.92,37.236458,56.062065
62.640522,1.7026994,312.51416,10648.866,111.86756,49.282852,6401.4263,37.365376,55.78707
62.362095,1.6938939,311.75702,10614.764,111.47153,49.132965,6437.7935,37.501175,55.495388
62.064808,1.6846582,310.9257,10578.934,111.0284,48.93784,6478.793,37.645863,55.18359
61.75033,1.6748899,310.0315,10541.677,110.53821,48.700123,6523.9883,37.801434,54.849888
61.42193,1.6644886,309.09,10503.392,110.00211,48.424564,6572.7495,37.969707,54.494156
61.08424,1.65337,308.11972,10464.536,109.42274,48.117565,6624.2886,38.152122,54.117916
60.742886,1.6414757,307.141,10425.594,108.80439,47.786472,6677.7383,38.349514,53.72417
60.403847,1.6287826,306.17383,10387.021,108.15322,47.43881,6732.209,38.562,53.31703
60.072876,1.6153086,305.23648,10349.203,107.47682,47.08158,6786.8604,38.78888,52.901382
59.754856,1.6011124,304.34433,10312.424,106.7837,46.720768,6840.961,39.028687,52.48231
59.453506,1.5862871,303.50867,10276.869,106.0828,46.361042,6893.909,39.279305,52.064724
59.171036,1.5709568,302.73703,10242.635,105.382645,46.005795,6945.251,39.538143,51.65297
58.90825,1.5552667,302.03305,10209.742,104.690834,45.657234,6994.661,39.802376,51.250645
58.664684,1.5393759,301.39716,10178.175,104.01363,45.316742,7041.932,40.069122,50.8605
58.438866,1.5234475,300.82693,10147.895,103.35574,44.985092,7086.9546,40.335606,50.48449
58.22867,1.5076442,300.3181,10118.86,102.72031,44.662716,7129.688,40.599335,50.123814
58.031605,1.4921191,299.86502,10091.037,102.10916,44.349895,7170.148,40.858124,49.77906
57.845066,1.47701,299.46118,10064.402,101.522835,44.04673,7208.3945,41.110172,49.450367
57.66659,1.4624342,299.0997,10038.94,100.961105,43.753296,7244.5176,41.354095,49.137516
57.494026,1.4484854,298.77393,10014.643,100.42316,43.46956,7278.633,41.58886,48.84004
57.325565,1.4352316,298.4774,9991.494,99.90781,43.195393,7310.8765,41.81382,48.557297
57.159824,1.4227144,298.20425,9969.479,99.41372,42.930557,7341.3975,42.028618,48.288548
56.99583,1.4109517,297.9493,9948.567,98.9395,42.674717,7370.356,42.233162,48.03299
56.83299,1.39994,297.70813,9928.722,98.48381,42.427464,7397.9165,42.427612,47.789806
56.670994,1.3896574,297.47693,9909.898,98.04535,42.188335,7424.243,42.612267,47.55814
56.50979,1.3800678,297.25266,9892.036,97.62287,41.956825,7449.491,42.787563,47.33713
56.34951,1.3711267,297.03262,9875.071,97.215225,41.732426,7473.8154,42.954014,47.125942
56.190384,1.3627821,296.8149,9858.937,96.821304,41.514675,7497.346,43.112175,46.923748
56.032703,1.3549803,296.59787,9843.557,96.440056,41.303085,7520.2095,43.262634,46.729725
55.876804,1.3476664,296.3801,9828.864,96.07052,41.097267,7542.51,43.40595,46.54309
55.722965,1.3407886,296.1606,9814.789,95.711754,40.896824,7564.335,43.54266,46.363102
55.571507,1.3342985,295.9385,9801.27,95.362915,40.701393,7585.759,43.673264,46.18904
55.42269,1.3281523,295.71307,9788.25,95.02326,40.510723,7606.837,43.798206,46.020256
55.276726,1.3223119,295.4837,9775.681,94.692085,40.324486,7627.6104,43.91787,45.85618
55.13382,1.3167453,295.2499,9763.521,94.36889,40.14247,7648.1064,44.032593,45.69629
54.99418,1.3114266,295.0113,9751.748,94.0532,39.964443,7668.3384,44.14265,45.54017
54.85797,1.3063354,294.76755,9740.335,93.744774,39.790222,7688.309,44.248226,45.387478
54.725395,1.3014582,294.51855,9729.278,93.443474,39.619633,7708.0073,44.34946,45.238007
54.59667,1.296788,294.26416,9718.579,93.14935,39.452545,7727.4087,44.44645,45.091633
54.472023,1.2923223,294.00455,9708.252,92.86265,39.288837,7746.4756,44.539165,44.948357
54.351772,1.288065,293.73984,9698.319,92.583824,39.128426,7765.161,44.62757,44.80829
54.23626,1.2840255,293.47046,9688.819,92.31347,38.97128,7783.3984,44.711517,44.67165
54.125908,1.2802185,293.1969,9679.793,92.05245,38.8174,7801.1123,44.790813,44.538795
54.02122,1.276663,292.92,9671.299,91.80181,38.666817,7818.208,44.86521,44.410175
53.92276,1.2733833,292.64056,9663.402,91.56281,38.519608,7834.578,44.934345,44.286358
53.831196,1.2704071,292.35974,9656.175,91.336914,38.375896,7850.102,44.997837,44.168015
53.74724,1.2677667,292.07874,9649.7,91.12571,38.235832,7864.6445,45.05523,44.055874
