TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
59.314335,1.4435575,309.1684,10395.982,95.89647,37.26462,6768.7017,39.491333,52.13031
62.246147,1.6302664,318.84085,10842.765,102.69908,42.193623,6358.421,37.173584,57.09767
63.619007,1.7040772,324.18362,11066.726,105.66597,45.211067,6080.413,36.166206,59.597507
63.736485,1.7123382,326.11453,11097.396,106.60026,47.099472,5878.929,35.85056,60.578262
63.38767,1.7045652,326.66568,11076.987,107.10221,48.318314,5736.7026,36.01254,60.921852
62.94241,1.7054043,326.2348,11059.284,107.74513,48.940876,5630.7705,36.134968,60.904953
62.62996,1.7192665,325.22543,11061.751,108.449715,49.111008,5589.018,35.993843,60.65194
62.51032,1.739009,324.07654,11071.927,109.00894,48.996258,5621.7905,35.643215,60.30173
62.548767,1.7565188,323.10828,11070.93,109.29872,48.746254,5711.714,35.262707,59.96849
62.690754,1.7674084,322.37582,11048.554,109.277054,48.460945,5834.415,35.01056,59.692234
62.888924,1.7709183,321.73294,11005.341,108.95819,48.19165,5969.6724,34.966667,59.472294
63.101982,1.7686155,321.00165,10948.321,108.40147,47.966125,6101.6523,35.13317,59.304173
63.29649,1.763303,320.08896,10886.673,107.70206,47.793716,6217.966,35.45301,59.178146
63.451595,1.7576653,319.0102,10828.725,106.97089,47.655346,6310.4497,35.838978,59.063957
63.558098,1.7528068,317.85074,10780.2295,106.30819,47.510746,6376.2104,36.21071,58.912067
63.6136,1.7480079,316.71216,10743.732,105.78117,47.326736,6417.3315,36.52157,58.67521
63.619976,1.7419809,315.67462,10718.789,105.4159,47.100452,6439.0757,36.76194,58.332977
63.58248,1.7341785,314.78378,10702.895,105.20567,46.85964,6447.6997,36.94529,57.899902
63.50895,1.7250262,314.05362,10692.711,105.12652,46.645,6448.9077,37.091793,57.414036
63.408375,1.7153996,313.47485,10685.073,105.1498,46.490788,6447.0703,37.217995,56.91848
63.289272,1.7060791,313.02325,10677.544,105.24773,46.41446,6445.0625,37.33359,56.447903
63.15864,1.6975155,312.66702,10668.549,105.39459,46.416107,6444.506,37.442715,56.0232
63.021233,1.6898371,312.3723,10657.2705,105.56678,46.483364,6446.177,37.54648,55.652447
62.879402,1.6829653,312.10696,10643.424,105.74323,46.59736,6450.4077,37.644966,55.33425
62.733475,1.6767278,311.84268,10627.035,105.9061,46.73753,6457.386,37.73846,55.06152
62.58228,1.6709305,311.55588,10608.262,106.04126,46.884575,6467.304,37.82771,54.824398
62.42362,1.6653967,311.22763,10587.298,106.13829,47.021835,6480.423,37.913944,54.61224
62.254826,1.6599774,310.84354,10564.307,106.18994,47.135822,6497.038,37.998775,54.41475
62.073154,1.6545457,310.39343,10539.434,106.1916,47.216206,6517.4463,38.084053,54.222588
61.87622,1.6489875,309.87134,10512.8125,106.140434,47.25571,6541.872,38.171783,54.02776
61.66235,1.6431965,309.27573,10484.6,106.03495,47.24988,6570.418,38.26406,53.823715
61.430866,1.6370641,308.6093,10455.0,105.87469,47.19702,6603.0205,38.36305,53.605476
