TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load,matched_load,matched_date,deltas,Ref_Pscav,Ref_Pcomp,Ref_Pmax,Ref_Texh,Ref_Ntc,Ref_Ntc_Pscav,Ref_Pcomp_Pscav,Ref_PR
59.725414,1.4640881,310.00702,10455.251,96.30116,38.13789,6749.36,39.602245,52.77666,52.774525,250.0,0.0021350000000026625,1.516300082206726,58.529239654541016,109.25579071044922,305.1916809082031,10460.3740234375,7766.21826171875,38.66946029663086,52.547210693359375
62.730995,1.6519098,319.7018,10892.758,103.37772,43.282135,6306.384,37.072327,57.957348,57.79615555555555,211.0,0.16119244444445258,1.7030547857284546,62.589847564697266,118.51481628417969,310.1538391113281,10951.6171875,7486.587890625,36.49323272705078,60.74462127685547
64.20751,1.7283806,325.32675,11128.624,106.748,46.52561,6012.499,35.918774,60.715355,59.93320222222223,312.0,0.7821527777777746,1.780104160308838,65.6990737915039,123.4798812866211,314.76031494140625,11181.34765625,6492.7763671875,35.821048736572266,59.28471374511719
64.38715,1.7408735,327.5314,11176.422,108.1976,48.58042,5792.6333,35.44439,61.960415,62.06927888888888,269.0,0.10886388888888376,1.8542693853378296,66.8932113647461,126.35362243652344,318.8567810058594,11335.36328125,6963.36376953125,34.94126510620117,61.420005798339844
64.105446,1.7399366,328.38065,11180.533,109.31821,49.98163,5628.7656,35.44316,62.558067,62.62966611111111,214.0,0.07159911111111228,1.8950244188308716,67.41325378417969,129.09756469726562,317.7597351074219,11411.90234375,7051.75244140625,34.67782974243164,61.87971878051758
63.747734,1.7484678,328.25317,11189.399,110.59802,50.86762,5505.7324,35.411976,62.7377,62.62966611111111,214.0,0.10803388888888321,1.8950244188308716,67.41325378417969,129.09756469726562,317.7597351074219,11411.90234375,7051.75244140625,34.67782974243164,61.87971878051758
63.538147,1.7693802,327.5331,11216.488,111.9156,51.39433,5455.631,35.150135,62.619892,62.62966611111111,214.0,0.00977411111111337,1.8950244188308716,67.41325378417969,129.09756469726562,317.7597351074219,11411.90234375,7051.75244140625,34.67782974243164,61.87971878051758
63.52205,1.7952046,326.63986,11248.129,113.062355,51.695236,5486.1733,34.721962,62.3693,62.62966611111111,214.0,0.26036611111111085,1.8950244188308716,67.41325378417969,129.09756469726562,317.7597351074219,11411.90234375,7051.75244140625,34.67782974243164,61.87971878051758
63.652367,1.8179862,325.881,11265.221,113.916824,51.86619,5576.825,34.301846,62.12354,62.06927888888888,269.0,0.05426111111111709,1.8542693853378296,66.8932113647461,126.35362243652344,318.8567810058594,11335.36328125,6963.36376953125,34.94126510620117,61.420005798339844
63.86834,1.8333294,325.30276,11256.743,114.43974,51.94742,5701.6816,34.034,61.932446,62.06927888888888,269.0,0.13683288888888256,1.8542693853378296,66.8932113647461,126.35362243652344,318.8567810058594,11335.36328125,6963.36376953125,34.94126510620117,61.420005798339844
