TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load,matched_load,matched_date,deltas,Ref_Pscav,Ref_Pcomp,Ref_Pmax,Ref_Texh,Ref_Ntc,Ref_Ntc_Pscav,Ref_Pcomp_Pscav,Ref_PR
59.31961,1.442659,309.23676,10396.045,95.97263,37.416153,6768.0015,39.57158,52.17023,52.02665666666667,2022-08-19 16:00:00,0.1435733333333289,1.4695348739624023,57.63249588012695,108.7291030883789,301.74871826171875,10350.451171875,7098.68603515625,39.75169372558594,52.770774841308594
62.260155,1.6290095,318.88516,10841.53,102.85371,42.440674,6359.2495,37.26032,57.152115,57.0119975,2022-08-19 14:00:00,0.14011750000000234,1.670558214187622,62.313941955566406,116.86605834960938,309.3556213378906,10865.6005859375,6542.0732421875,37.83829116821289,57.71185302734375
63.623768,1.7026479,324.18457,11065.661,105.8903,45.5067,6082.561,36.23599,59.66873,59.633939722222216,2022-09-09 15:00:00,0.03479027777778043,1.7689317464828491,65.41085815429688,122.61167907714844,314.6133728027344,11153.998046875,6210.37451171875,36.63962173461914,59.859619140625
63.726147,1.7117022,326.11237,11099.213,106.92166,47.400936,5879.8105,35.88472,60.678856,59.93320222222223,2022-09-09 14:00:00,0.7456537777777754,1.7793877124786377,65.69295501708984,123.46195983886719,314.7732238769531,11177.3017578125,6186.80322265625,36.5834846496582,59.8999137878418
63.37211,1.7058258,326.72144,11084.954,107.55027,48.615788,5731.714,35.99946,61.059288,62.06927888888888,2022-09-02 14:00:00,1.0099908888888791,1.854825496673584,66.9102554321289,126.37403106689453,318.8377380371094,11336.623046875,6075.00634765625,35.85837936401367,61.824951171875
62.935635,1.7090675,326.38525,11075.106,108.313736,49.256218,5618.201,36.074818,61.07314,62.06927888888888,2022-09-02 14:00:00,0.9961388888888791,1.854825496673584,66.9102554321289,126.37403106689453,318.8377380371094,11336.623046875,6075.00634765625,35.85837936401367,61.824951171875
62.638832,1.7251928,325.44867,11084.777,109.10985,49.464535,5570.597,35.894802,60.834187,59.93320222222223,2022-09-09 14:00:00,0.9009847777777722,1.7793877124786377,65.69295501708984,123.46195983886719,314.7732238769531,11177.3017578125,6186.80322265625,36.5834846496582,59.8999137878418
62.53389,1.7468221,324.3085,11099.958,109.733116,49.389275,5600.297,35.51532,60.480415,59.93320222222223,2022-09-09 14:00:00,0.5472127777777729,1.7793877124786377,65.69295501708984,123.46195983886719,314.7732238769531,11177.3017578125,6186.80322265625,36.5834846496582,59.8999137878418
62.580544,1.7657675,323.28333,11101.035,110.06553,49.165813,5689.208,35.115417,60.131977,59.93320222222223,2022-09-09 14:00:00,0.1987747777777713,1.7793877124786377,65.69295501708984,123.46195983886719,314.7732238769531,11177.3017578125,6186.80322265625,36.5834846496582,59.8999137878418
62.72163,1.7775522,322.45023,11077.778,110.06899,48.887978,5811.829,34.852966,59.83556,59.93320222222223,2022-09-09 14:00:00,0.09764222222222685,1.7793877124786377,65.69295501708984,123.46195983886719,314.7732238769531,11177.3017578125,6186.80322265625,36.5834846496582,59.8999137878418
62.909916,1.7813588,321.68594,11031.252,109.76011,48.606514,5947.228,34.80788,59.59422,59.633939722222216,2022-09-09 15:00:00,0.03971972222221609,1.7689317464828491,65.41085815429688,122.61167907714844,314.6133728027344,11153.998046875,6210.37451171875,36.63962173461914,59.859619140625
63.105927,1.7788174,320.82996,10969.321,109.20019,48.353546,6079.3643,34.982025,59.405815,59.40902805555555,2022-09-09 23:00:00,0.0032130555555553997,1.7619942426681519,65.0814437866211,122.00025939941406,314.6929931640625,11134.763671875,6234.88427734375,36.63265609741211,59.23994064331055
